d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.057,57,1000
3,0.008,0.061,61,1000
3,0.012,0.12,120,1000
3,0.018,0.153,153,1000
3,0.028,0.23,230,1000
3,0.042,0.315,315,1000
3,0.065,0.397,397,1000
3,0.09,0.496,496,1000
3,0.11,0.565,565,1000
3,0.13,0.629,629,1000
3,0.15,0.627,627,1000
3,0.17,0.64,640,1000
3,0.19,0.664,664,1000
5,0.005,0.12,120,1000
5,0.008,0.168,168,1000
5,0.012,0.238,238,1000
5,0.018,0.348,348,1000
5,0.028,0.433,433,1000
5,0.042,0.569,569,1000
5,0.065,0.63,630,1000
5,0.09,0.705,705,1000
7,0.005,0.178,178,1000
7,0.008,0.287,287,1000
7,0.012,0.394,394,1000
7,0.018,0.508,508,1000
7,0.028,0.609,609,1000
7,0.042,0.674,674,1000
9,0.005,0.307,307,1000
9,0.008,0.443,443,1000
9,0.012,0.515,515,1000
9,0.018,0.621,621,1000
9,0.028,0.703,703,1000
11,0.005,0.388,388,1000
11,0.008,0.537,537,1000
11,0.012,0.641,641,1000
11,0.018,0.705,705,1000
13,0.005,0.458,458,1000
13,0.008,0.611,611,1000
13,0.012,0.675,675,1000
15,0.005,0.577,577,1000
15,0.008,0.675,675,1000
