d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.061,61,1000
3,0.008,0.094,94,1000
3,0.012,0.133,133,1000
3,0.018,0.169,169,1000
3,0.028,0.23,230,1000
3,0.042,0.354,354,1000
3,0.065,0.477,477,1000
3,0.09,0.535,535,1000
3,0.11,0.584,584,1000
3,0.13,0.635,635,1000
3,0.15,0.667,667,1000
5,0.005,0.136,136,1000
5,0.008,0.221,221,1000
5,0.012,0.287,287,1000
5,0.018,0.355,355,1000
5,0.028,0.501,501,1000
5,0.042,0.593,593,1000
5,0.065,0.676,676,1000
7,0.005,0.289,289,1000
7,0.008,0.336,336,1000
7,0.012,0.451,451,1000
7,0.018,0.601,601,1000
7,0.028,0.679,679,1000
9,0.005,0.38,380,1000
9,0.008,0.491,491,1000
9,0.012,0.598,598,1000
9,0.018,0.664,664,1000
11,0.005,0.465,465,1000
11,0.008,0.586,586,1000
11,0.012,0.686,686,1000
13,0.005,0.548,548,1000
13,0.008,0.669,669,1000
15,0.005,0.63,630,1000
15,0.008,0.678,678,1000
