d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,250
3,0.0007,0,0,250
3,0.001,0,0,250
3,0.0014,0,0,250
3,0.002,0,0,250
3,0.0028,0,0,250
3,0.004,0,0,250
3,0.0056,0,0,250
3,0.008,0,0,250
3,0.011,0.004,1,250
3,0.016,0.008,2,250
3,0.022,0.012,3,250
3,0.031,0.016,4,250
3,0.044,0.032,8,250
3,0.063,0.052,13,250
3,0.088,0.084,21,250
3,0.125,0.12,30,250
3,0.176,0.232,58,250
3,0.25,0.432,108,250
3,0.35,0.572,143,250
3,0.5,0.648,162,250
5,0.0005,0,0,250
5,0.0007,0,0,250
5,0.001,0,0,250
5,0.0014,0,0,250
5,0.002,0,0,250
5,0.0028,0,0,250
5,0.004,0,0,250
5,0.0056,0,0,250
5,0.008,0,0,250
5,0.011,0,0,250
5,0.016,0,0,250
5,0.022,0,0,250
5,0.031,0.004,1,250
5,0.044,0.02,5,250
5,0.063,0.036,9,250
5,0.088,0.092,23,250
5,0.125,0.156,39,250
5,0.176,0.316,79,250
5,0.25,0.516,129,250
5,0.35,0.696,174,250
7,0.0005,0,0,250
7,0.0007,0,0,250
7,0.001,0,0,250
7,0.0014,0,0,250
7,0.002,0,0,250
7,0.0028,0,0,250
7,0.004,0,0,250
7,0.0056,0,0,250
7,0.008,0,0,250
7,0.011,0,0,250
7,0.016,0,0,250
7,0.022,0,0,250
7,0.031,0,0,250
7,0.044,0.004,1,250
7,0.063,0.036,9,250
7,0.088,0.044,11,250
7,0.125,0.148,37,250
7,0.176,0.356,89,250
7,0.25,0.596,149,250
7,0.35,0.74,185,250
9,0.0005,0,0,250
9,0.0007,0,0,250
9,0.001,0,0,250
9,0.0014,0,0,250
9,0.002,0,0,250
9,0.0028,0,0,250
9,0.004,0,0,250
9,0.0056,0,0,250
9,0.008,0,0,250
9,0.011,0,0,250
9,0.016,0,0,250
9,0.022,0,0,250
9,0.031,0,0,250
9,0.044,0,0,250
9,0.063,0.024,6,250
9,0.088,0.04,10,250
9,0.125,0.14,35,250
9,0.176,0.348,87,250
9,0.25,0.584,146,250
9,0.35,0.776,194,250
11,0.0005,0,0,250
11,0.0007,0,0,250
11,0.001,0,0,250
11,0.0014,0,0,250
11,0.002,0,0,250
11,0.0028,0,0,250
11,0.004,0,0,250
11,0.0056,0,0,250
11,0.008,0,0,250
11,0.011,0,0,250
11,0.016,0,0,250
11,0.022,0,0,250
11,0.031,0,0,250
11,0.044,0,0,250
11,0.063,0.004,1,250
11,0.088,0.04,10,250
11,0.125,0.108,27,250
11,0.176,0.316,79,250
11,0.25,0.652,163,250
13,0.0005,0,0,250
13,0.0007,0,0,250
13,0.001,0,0,250
13,0.0014,0,0,250
13,0.002,0,0,250
13,0.0028,0,0,250
13,0.004,0,0,250
13,0.0056,0,0,250
13,0.008,0,0,250
13,0.011,0,0,250
13,0.016,0,0,250
13,0.022,0,0,250
13,0.031,0,0,250
13,0.044,0,0,250
13,0.063,0.008,2,250
13,0.088,0.016,4,250
13,0.125,0.148,37,250
13,0.176,0.416,104,250
13,0.25,0.66,165,250
15,0.0005,0,0,250
15,0.0007,0,0,250
15,0.001,0,0,250
15,0.0014,0,0,250
15,0.002,0,0,250
15,0.0028,0,0,250
15,0.004,0,0,250
15,0.0056,0,0,250
15,0.008,0,0,250
15,0.011,0,0,250
15,0.016,0,0,250
15,0.022,0,0,250
15,0.031,0,0,250
15,0.044,0,0,250
15,0.063,0.004,1,250
15,0.088,0.024,6,250
15,0.125,0.112,28,250
15,0.176,0.42,105,250
15,0.25,0.652,163,250
17,0.0005,0,0,250
17,0.0007,0,0,250
17,0.001,0,0,250
17,0.0014,0,0,250
17,0.002,0,0,250
17,0.0028,0,0,250
17,0.004,0,0,250
17,0.0056,0,0,250
17,0.008,0,0,250
17,0.011,0,0,250
17,0.016,0,0,250
17,0.022,0,0,250
17,0.031,0,0,250
17,0.044,0,0,250
17,0.063,0,0,250
17,0.088,0.008,2,250
17,0.125,0.076,19,250
17,0.176,0.44,110,250
17,0.25,0.692,173,250
