d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.04,40,1000
3,0.008,0.064,64,1000
3,0.012,0.109,109,1000
3,0.018,0.146,146,1000
3,0.028,0.222,222,1000
3,0.042,0.303,303,1000
3,0.065,0.35,350,1000
3,0.09,0.45,450,1000
3,0.11,0.485,485,1000
3,0.13,0.511,511,1000
3,0.15,0.509,509,1000
3,0.17,0.544,544,1000
3,0.19,0.577,577,1000
3,0.22,0.6,600,1000
3,0.26,0.599,599,1000
3,0.3,0.622,622,1000
5,0.005,0.109,109,1000
5,0.008,0.159,159,1000
5,0.012,0.231,231,1000
5,0.018,0.301,301,1000
5,0.028,0.403,403,1000
5,0.042,0.508,508,1000
5,0.065,0.539,539,1000
5,0.09,0.562,562,1000
5,0.11,0.615,615,1000
5,0.13,0.605,605,1000
5,0.15,0.613,613,1000
5,0.17,0.634,634,1000
5,0.19,0.62,620,1000
5,0.22,0.678,678,1000
7,0.005,0.212,212,1000
7,0.008,0.298,298,1000
7,0.012,0.366,366,1000
7,0.018,0.476,476,1000
7,0.028,0.523,523,1000
7,0.042,0.523,523,1000
7,0.065,0.629,629,1000
7,0.09,0.628,628,1000
7,0.11,0.646,646,1000
7,0.13,0.679,679,1000
9,0.005,0.3,300,1000
9,0.008,0.417,417,1000
9,0.012,0.493,493,1000
9,0.018,0.531,531,1000
9,0.028,0.557,557,1000
9,0.042,0.637,637,1000
9,0.065,0.634,634,1000
9,0.09,0.671,671,1000
11,0.005,0.369,369,1000
11,0.008,0.471,471,1000
11,0.012,0.531,531,1000
11,0.018,0.572,572,1000
11,0.028,0.598,598,1000
11,0.042,0.659,659,1000
11,0.065,0.689,689,1000
13,0.005,0.444,444,1000
13,0.008,0.545,545,1000
13,0.012,0.583,583,1000
13,0.018,0.618,618,1000
13,0.028,0.646,646,1000
13,0.042,0.675,675,1000
15,0.005,0.475,475,1000
15,0.008,0.558,558,1000
15,0.012,0.586,586,1000
15,0.018,0.631,631,1000
15,0.028,0.676,676,1000
