d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.006,3,500
3,0.008,0.01,5,500
3,0.012,0.012,6,500
3,0.018,0.026,13,500
3,0.028,0.06,30,500
3,0.042,0.12,60,500
3,0.065,0.24,120,500
3,0.09,0.314,157,500
3,0.11,0.4,200,500
3,0.13,0.48,240,500
3,0.15,0.504,252,500
3,0.17,0.516,258,500
3,0.19,0.488,244,500
3,0.22,0.596,298,500
3,0.26,0.58,290,500
3,0.3,0.606,303,500
5,0.005,0,0,500
5,0.008,0.008,4,500
5,0.012,0.006,3,500
5,0.018,0.04,20,500
5,0.028,0.07,35,500
5,0.042,0.194,97,500
5,0.065,0.326,163,500
5,0.09,0.432,216,500
5,0.11,0.508,254,500
5,0.13,0.524,262,500
5,0.15,0.562,281,500
5,0.17,0.564,282,500
5,0.19,0.566,283,500
5,0.22,0.592,296,500
5,0.26,0.592,296,500
5,0.3,0.644,322,500
7,0.005,0,0,500
7,0.008,0.002,1,500
7,0.012,0.006,3,500
7,0.018,0.02,10,500
7,0.028,0.068,34,500
7,0.042,0.258,129,500
7,0.065,0.498,249,500
7,0.09,0.508,254,500
7,0.11,0.496,248,500
7,0.13,0.54,270,500
7,0.15,0.542,271,500
7,0.17,0.574,287,500
7,0.19,0.568,284,500
7,0.22,0.64,320,500
7,0.26,0.644,322,500
7,0.3,0.7,350,500
9,0.005,0,0,500
9,0.008,0,0,500
9,0.012,0,0,500
9,0.018,0.008,4,500
9,0.028,0.082,41,500
9,0.042,0.278,139,500
9,0.065,0.494,247,500
9,0.09,0.51,255,500
9,0.11,0.492,246,500
9,0.13,0.512,256,500
9,0.15,0.548,274,500
9,0.17,0.57,285,500
9,0.19,0.636,318,500
9,0.22,0.636,318,500
9,0.26,0.68,340,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0.002,1,500
11,0.018,0.008,4,500
11,0.028,0.054,27,500
11,0.042,0.354,177,500
11,0.065,0.49,245,500
11,0.09,0.49,245,500
11,0.11,0.524,262,500
11,0.13,0.48,240,500
11,0.15,0.562,281,500
11,0.17,0.586,293,500
11,0.19,0.634,317,500
11,0.22,0.666,333,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0,0,500
13,0.018,0,0,500
13,0.028,0.066,33,500
13,0.042,0.352,176,500
13,0.065,0.462,231,500
13,0.09,0.48,240,500
13,0.11,0.536,268,500
13,0.13,0.566,283,500
13,0.15,0.608,304,500
13,0.17,0.624,312,500
13,0.19,0.638,319,500
13,0.22,0.762,381,500
