d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.013,13,1000
3,0.008,0.039,39,1000
3,0.012,0.043,43,1000
3,0.018,0.056,56,1000
3,0.028,0.077,77,1000
3,0.042,0.12,120,1000
3,0.065,0.181,181,1000
3,0.09,0.218,218,1000
3,0.11,0.273,273,1000
3,0.13,0.333,333,1000
3,0.15,0.364,364,1000
3,0.17,0.398,398,1000
3,0.19,0.425,425,1000
3,0.22,0.496,496,1000
3,0.26,0.525,525,1000
3,0.3,0.567,567,1000
5,0.005,0.027,27,1000
5,0.008,0.027,27,1000
5,0.012,0.061,61,1000
5,0.018,0.08,80,1000
5,0.028,0.13,130,1000
5,0.042,0.171,171,1000
5,0.065,0.254,254,1000
5,0.09,0.336,336,1000
5,0.11,0.401,401,1000
5,0.13,0.44,440,1000
5,0.15,0.498,498,1000
5,0.17,0.534,534,1000
5,0.19,0.529,529,1000
5,0.22,0.594,594,1000
5,0.26,0.639,639,1000
5,0.3,0.669,669,1000
7,0.005,0.031,31,1000
7,0.008,0.049,49,1000
7,0.012,0.084,84,1000
7,0.018,0.103,103,1000
7,0.028,0.175,175,1000
7,0.042,0.262,262,1000
7,0.065,0.364,364,1000
7,0.09,0.446,446,1000
7,0.11,0.498,498,1000
7,0.13,0.543,543,1000
7,0.15,0.569,569,1000
7,0.17,0.611,611,1000
7,0.19,0.666,666,1000
9,0.005,0.043,43,1000
9,0.008,0.067,67,1000
9,0.012,0.103,103,1000
9,0.018,0.14,140,1000
9,0.028,0.214,214,1000
9,0.042,0.307,307,1000
9,0.065,0.403,403,1000
9,0.09,0.502,502,1000
9,0.11,0.559,559,1000
9,0.13,0.62,620,1000
9,0.15,0.631,631,1000
9,0.17,0.672,672,1000
11,0.005,0.046,46,1000
11,0.008,0.084,84,1000
11,0.012,0.113,113,1000
11,0.018,0.179,179,1000
11,0.028,0.226,226,1000
11,0.042,0.359,359,1000
11,0.065,0.466,466,1000
11,0.09,0.534,534,1000
11,0.11,0.589,589,1000
11,0.13,0.628,628,1000
11,0.15,0.669,669,1000
13,0.005,0.052,52,1000
13,0.008,0.088,88,1000
13,0.012,0.139,139,1000
13,0.018,0.207,207,1000
13,0.028,0.289,289,1000
13,0.042,0.374,374,1000
13,0.065,0.492,492,1000
13,0.09,0.605,605,1000
13,0.11,0.646,646,1000
13,0.13,0.688,688,1000
15,0.005,0.075,75,1000
15,0.008,0.097,97,1000
15,0.012,0.161,161,1000
15,0.018,0.239,239,1000
15,0.028,0.322,322,1000
15,0.042,0.422,422,1000
15,0.065,0.524,524,1000
15,0.09,0.625,625,1000
15,0.11,0.662,662,1000
