d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,250
3,0.0007,0.004,1,250
3,0.001,0.004,1,250
3,0.0014,0,0,250
3,0.002,0,0,250
3,0.0028,0,0,250
3,0.004,0.004,1,250
3,0.0056,0.008,2,250
3,0.008,0.02,5,250
3,0.011,0.04,10,250
3,0.016,0.092,23,250
3,0.022,0.212,53,250
3,0.031,0.256,64,250
3,0.044,0.324,81,250
3,0.063,0.424,106,250
3,0.088,0.596,149,250
3,0.125,0.72,180,250
5,0.0005,0,0,250
5,0.0007,0,0,250
5,0.001,0,0,250
5,0.0014,0,0,250
5,0.002,0,0,250
5,0.0028,0.008,2,250
5,0.004,0.004,1,250
5,0.0056,0.012,3,250
5,0.008,0.02,5,250
5,0.011,0.012,3,250
5,0.016,0.136,34,250
5,0.022,0.268,67,250
5,0.031,0.432,108,250
5,0.044,0.592,148,250
5,0.063,0.696,174,250
7,0.0005,0,0,250
7,0.0007,0,0,250
7,0.001,0,0,250
7,0.0014,0,0,250
7,0.002,0,0,250
7,0.0028,0.004,1,250
7,0.004,0.008,2,250
7,0.0056,0.008,2,250
7,0.008,0.012,3,250
7,0.011,0.024,6,250
7,0.016,0.124,31,250
7,0.022,0.28,70,250
7,0.031,0.512,128,250
7,0.044,0.728,182,250
9,0.0005,0,0,250
9,0.0007,0,0,250
9,0.001,0,0,250
9,0.0014,0,0,250
9,0.002,0,0,250
9,0.0028,0,0,250
9,0.004,0.004,1,250
9,0.0056,0.004,1,250
9,0.008,0,0,250
9,0.011,0.008,2,250
9,0.016,0.144,36,250
9,0.022,0.352,88,250
9,0.031,0.648,162,250
9,0.044,0.776,194,250
11,0.0005,0,0,250
11,0.0007,0,0,250
11,0.001,0,0,250
11,0.0014,0,0,250
11,0.002,0,0,250
11,0.0028,0,0,250
11,0.004,0.004,1,250
11,0.0056,0.012,3,250
11,0.008,0.004,1,250
11,0.011,0.004,1,250
11,0.016,0.108,27,250
11,0.022,0.432,108,250
11,0.031,0.732,183,250
13,0.0005,0,0,250
13,0.0007,0,0,250
13,0.001,0,0,250
13,0.0014,0,0,250
13,0.002,0,0,250
13,0.0028,0,0,250
13,0.004,0,0,250
13,0.0056,0.004,1,250
13,0.008,0,0,250
13,0.011,0.008,2,250
13,0.016,0.144,36,250
13,0.022,0.46,115,250
13,0.031,0.744,186,250
15,0.0005,0,0,250
15,0.0007,0,0,250
15,0.001,0,0,250
15,0.0014,0,0,250
15,0.002,0,0,250
15,0.0028,0,0,250
15,0.004,0,0,250
15,0.0056,0,0,250
15,0.008,0,0,250
15,0.011,0,0,250
15,0.016,0.216,54,250
15,0.022,0.588,147,250
15,0.031,0.788,197,250
17,0.0005,0,0,250
17,0.0007,0,0,250
17,0.001,0,0,250
17,0.0014,0,0,250
17,0.002,0,0,250
17,0.0028,0,0,250
17,0.004,0,0,250
17,0.0056,0,0,250
17,0.008,0,0,250
17,0.011,0.004,1,250
17,0.016,0.208,52,250
17,0.022,0.632,158,250
17,0.031,0.72,180,250
