d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,250
3,0.0007,0,0,250
3,0.001,0,0,250
3,0.0014,0,0,250
3,0.002,0,0,250
3,0.0028,0,0,250
3,0.004,0,0,250
3,0.0056,0,0,250
3,0.008,0.004,1,250
3,0.011,0.004,1,250
3,0.016,0.016,4,250
3,0.022,0,0,250
3,0.031,0.004,1,250
3,0.044,0.012,3,250
3,0.063,0.02,5,250
3,0.088,0.052,13,250
3,0.125,0.1,25,250
3,0.176,0.148,37,250
3,0.25,0.384,96,250
3,0.35,0.492,123,250
3,0.5,0.648,162,250
5,0.0005,0,0,250
5,0.0007,0,0,250
5,0.001,0,0,250
5,0.0014,0,0,250
5,0.002,0,0,250
5,0.0028,0,0,250
5,0.004,0,0,250
5,0.0056,0,0,250
5,0.008,0,0,250
5,0.011,0,0,250
5,0.016,0,0,250
5,0.022,0,0,250
5,0.031,0.004,1,250
5,0.044,0.004,1,250
5,0.063,0.02,5,250
5,0.088,0.02,5,250
5,0.125,0.088,22,250
5,0.176,0.164,41,250
5,0.25,0.4,100,250
5,0.35,0.636,159,250
5,0.5,0.704,176,250
7,0.0005,0,0,250
7,0.0007,0,0,250
7,0.001,0,0,250
7,0.0014,0,0,250
7,0.002,0,0,250
7,0.0028,0,0,250
7,0.004,0,0,250
7,0.0056,0,0,250
7,0.008,0,0,250
7,0.011,0,0,250
7,0.016,0,0,250
7,0.022,0,0,250
7,0.031,0,0,250
7,0.044,0.004,1,250
7,0.063,0,0,250
7,0.088,0.024,6,250
7,0.125,0.08,20,250
7,0.176,0.184,46,250
7,0.25,0.392,98,250
7,0.35,0.664,166,250
9,0.0005,0,0,250
9,0.0007,0,0,250
9,0.001,0,0,250
9,0.0014,0,0,250
9,0.002,0,0,250
9,0.0028,0,0,250
9,0.004,0,0,250
9,0.0056,0,0,250
9,0.008,0,0,250
9,0.011,0,0,250
9,0.016,0,0,250
9,0.022,0,0,250
9,0.031,0,0,250
9,0.044,0,0,250
9,0.063,0,0,250
9,0.088,0.016,4,250
9,0.125,0.052,13,250
9,0.176,0.184,46,250
9,0.25,0.42,105,250
9,0.35,0.628,157,250
9,0.5,0.7,175,250
11,0.0005,0,0,250
11,0.0007,0,0,250
11,0.001,0,0,250
11,0.0014,0,0,250
11,0.002,0,0,250
11,0.0028,0,0,250
11,0.004,0,0,250
11,0.0056,0,0,250
11,0.008,0,0,250
11,0.011,0,0,250
11,0.016,0,0,250
11,0.022,0,0,250
11,0.031,0,0,250
11,0.044,0,0,250
11,0.063,0.004,1,250
11,0.088,0,0,250
11,0.125,0.044,11,250
11,0.176,0.228,57,250
11,0.25,0.504,126,250
11,0.35,0.664,166,250
13,0.0005,0,0,250
13,0.0007,0,0,250
13,0.001,0,0,250
13,0.0014,0,0,250
13,0.002,0,0,250
13,0.0028,0,0,250
13,0.004,0,0,250
13,0.0056,0,0,250
13,0.008,0,0,250
13,0.011,0,0,250
13,0.016,0,0,250
13,0.022,0,0,250
13,0.031,0,0,250
13,0.044,0,0,250
13,0.063,0,0,250
13,0.088,0,0,250
13,0.125,0.02,5,250
13,0.176,0.18,45,250
13,0.25,0.468,117,250
13,0.35,0.66,165,250
15,0.0005,0,0,250
15,0.0007,0,0,250
15,0.001,0,0,250
15,0.0014,0,0,250
15,0.002,0,0,250
15,0.0028,0,0,250
15,0.004,0,0,250
15,0.0056,0,0,250
15,0.008,0,0,250
15,0.011,0,0,250
15,0.016,0,0,250
15,0.022,0,0,250
15,0.031,0,0,250
15,0.044,0,0,250
15,0.063,0,0,250
15,0.088,0.008,2,250
15,0.125,0.032,8,250
15,0.176,0.196,49,250
15,0.25,0.552,138,250
15,0.35,0.756,189,250
17,0.0005,0,0,250
17,0.0007,0,0,250
17,0.001,0,0,250
17,0.0014,0,0,250
17,0.002,0,0,250
17,0.0028,0,0,250
17,0.004,0,0,250
17,0.0056,0,0,250
17,0.008,0,0,250
17,0.011,0,0,250
17,0.016,0,0,250
17,0.022,0,0,250
17,0.031,0,0,250
17,0.044,0,0,250
17,0.063,0,0,250
17,0.088,0,0,250
17,0.125,0.012,3,250
17,0.176,0.216,54,250
17,0.25,0.528,132,250
17,0.35,0.748,187,250
