d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.008,8,1000
3,0.008,0.017,17,1000
3,0.012,0.045,45,1000
3,0.018,0.05,50,1000
3,0.028,0.076,76,1000
3,0.042,0.111,111,1000
3,0.065,0.165,165,1000
3,0.09,0.223,223,1000
3,0.11,0.276,276,1000
3,0.13,0.288,288,1000
3,0.15,0.351,351,1000
3,0.17,0.384,384,1000
3,0.19,0.405,405,1000
3,0.22,0.448,448,1000
3,0.26,0.495,495,1000
3,0.3,0.505,505,1000
5,0.005,0.029,29,1000
5,0.008,0.03,30,1000
5,0.012,0.062,62,1000
5,0.018,0.082,82,1000
5,0.028,0.135,135,1000
5,0.042,0.184,184,1000
5,0.065,0.259,259,1000
5,0.09,0.329,329,1000
5,0.11,0.382,382,1000
5,0.13,0.431,431,1000
5,0.15,0.417,417,1000
5,0.17,0.465,465,1000
5,0.19,0.485,485,1000
5,0.22,0.505,505,1000
5,0.26,0.533,533,1000
5,0.3,0.557,557,1000
7,0.005,0.032,32,1000
7,0.008,0.066,66,1000
7,0.012,0.07,70,1000
7,0.018,0.131,131,1000
7,0.028,0.17,170,1000
7,0.042,0.263,263,1000
7,0.065,0.336,336,1000
7,0.09,0.388,388,1000
7,0.11,0.448,448,1000
7,0.13,0.48,480,1000
7,0.15,0.528,528,1000
7,0.17,0.526,526,1000
7,0.19,0.524,524,1000
7,0.22,0.579,579,1000
7,0.26,0.58,580,1000
7,0.3,0.579,579,1000
9,0.005,0.045,45,1000
9,0.008,0.073,73,1000
9,0.012,0.102,102,1000
9,0.018,0.14,140,1000
9,0.028,0.211,211,1000
9,0.042,0.275,275,1000
9,0.065,0.376,376,1000
9,0.09,0.464,464,1000
9,0.11,0.463,463,1000
9,0.13,0.511,511,1000
9,0.15,0.533,533,1000
9,0.17,0.542,542,1000
9,0.19,0.552,552,1000
9,0.22,0.571,571,1000
9,0.26,0.592,592,1000
9,0.3,0.613,613,1000
11,0.005,0.059,59,1000
11,0.008,0.065,65,1000
11,0.012,0.115,115,1000
11,0.018,0.166,166,1000
11,0.028,0.247,247,1000
11,0.042,0.336,336,1000
11,0.065,0.422,422,1000
11,0.09,0.465,465,1000
11,0.11,0.543,543,1000
11,0.13,0.549,549,1000
11,0.15,0.536,536,1000
11,0.17,0.549,549,1000
11,0.19,0.571,571,1000
11,0.22,0.594,594,1000
11,0.26,0.617,617,1000
11,0.3,0.601,601,1000
13,0.005,0.055,55,1000
13,0.008,0.107,107,1000
13,0.012,0.144,144,1000
13,0.018,0.2,200,1000
13,0.028,0.29,290,1000
13,0.042,0.366,366,1000
13,0.065,0.453,453,1000
13,0.09,0.51,510,1000
13,0.11,0.556,556,1000
13,0.13,0.555,555,1000
13,0.15,0.566,566,1000
13,0.17,0.584,584,1000
13,0.19,0.565,565,1000
13,0.22,0.582,582,1000
13,0.26,0.638,638,1000
13,0.3,0.635,635,1000
15,0.005,0.068,68,1000
15,0.008,0.094,94,1000
15,0.012,0.142,142,1000
15,0.018,0.224,224,1000
15,0.028,0.299,299,1000
15,0.042,0.397,397,1000
15,0.065,0.462,462,1000
15,0.09,0.525,525,1000
15,0.11,0.552,552,1000
15,0.13,0.584,584,1000
15,0.15,0.593,593,1000
15,0.17,0.573,573,1000
15,0.19,0.597,597,1000
15,0.22,0.619,619,1000
15,0.26,0.623,623,1000
15,0.3,0.63,630,1000
