d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.045,45,1000
3,0.008,0.066,66,1000
3,0.012,0.107,107,1000
3,0.018,0.127,127,1000
3,0.028,0.223,223,1000
3,0.042,0.294,294,1000
3,0.065,0.39,390,1000
3,0.09,0.458,458,1000
3,0.11,0.516,516,1000
3,0.13,0.52,520,1000
3,0.15,0.527,527,1000
3,0.17,0.604,604,1000
3,0.19,0.556,556,1000
3,0.22,0.574,574,1000
3,0.26,0.554,554,1000
3,0.3,0.598,598,1000
5,0.005,0.105,105,1000
5,0.008,0.173,173,1000
5,0.012,0.218,218,1000
5,0.018,0.3,300,1000
5,0.028,0.424,424,1000
5,0.042,0.492,492,1000
5,0.065,0.55,550,1000
5,0.09,0.575,575,1000
5,0.11,0.579,579,1000
5,0.13,0.619,619,1000
5,0.15,0.635,635,1000
5,0.17,0.62,620,1000
5,0.19,0.652,652,1000
5,0.22,0.677,677,1000
7,0.005,0.215,215,1000
7,0.008,0.309,309,1000
7,0.012,0.368,368,1000
7,0.018,0.457,457,1000
7,0.028,0.525,525,1000
7,0.042,0.581,581,1000
7,0.065,0.622,622,1000
7,0.09,0.639,639,1000
7,0.11,0.664,664,1000
9,0.005,0.281,281,1000
9,0.008,0.368,368,1000
9,0.012,0.457,457,1000
9,0.018,0.529,529,1000
9,0.028,0.569,569,1000
9,0.042,0.618,618,1000
9,0.065,0.641,641,1000
9,0.09,0.695,695,1000
11,0.005,0.349,349,1000
11,0.008,0.465,465,1000
11,0.012,0.538,538,1000
11,0.018,0.573,573,1000
11,0.028,0.625,625,1000
11,0.042,0.64,640,1000
11,0.065,0.672,672,1000
13,0.005,0.44,440,1000
13,0.008,0.529,529,1000
13,0.012,0.549,549,1000
13,0.018,0.617,617,1000
13,0.028,0.653,653,1000
13,0.042,0.687,687,1000
15,0.005,0.495,495,1000
15,0.008,0.541,541,1000
15,0.012,0.595,595,1000
15,0.018,0.632,632,1000
15,0.028,0.687,687,1000
