d,p,logical_error_rate,total_fails,num_shots
3,0.005,0,0,500
3,0.008,0,0,500
3,0.012,0,0,500
3,0.018,0.002,1,500
3,0.028,0.004,2,500
3,0.042,0.004,2,500
3,0.065,0.036,18,500
3,0.09,0.072,36,500
3,0.11,0.096,48,500
3,0.13,0.126,63,500
3,0.15,0.138,69,500
3,0.17,0.19,95,500
3,0.19,0.206,103,500
3,0.22,0.29,145,500
3,0.26,0.37,185,500
3,0.3,0.392,196,500
5,0.005,0,0,500
5,0.008,0,0,500
5,0.012,0,0,500
5,0.018,0,0,500
5,0.028,0,0,500
5,0.042,0.004,2,500
5,0.065,0.008,4,500
5,0.09,0.036,18,500
5,0.11,0.074,37,500
5,0.13,0.088,44,500
5,0.15,0.13,65,500
5,0.17,0.186,93,500
5,0.19,0.218,109,500
5,0.22,0.306,153,500
5,0.26,0.416,208,500
5,0.3,0.49,245,500
7,0.005,0,0,500
7,0.008,0,0,500
7,0.012,0,0,500
7,0.018,0,0,500
7,0.028,0,0,500
7,0.042,0,0,500
7,0.065,0.01,5,500
7,0.09,0.026,13,500
7,0.11,0.066,33,500
7,0.13,0.086,43,500
7,0.15,0.142,71,500
7,0.17,0.164,82,500
7,0.19,0.218,109,500
7,0.22,0.348,174,500
7,0.26,0.43,215,500
7,0.3,0.536,268,500
9,0.005,0,0,500
9,0.008,0,0,500
9,0.012,0,0,500
9,0.018,0,0,500
9,0.028,0.002,1,500
9,0.042,0,0,500
9,0.065,0.006,3,500
9,0.09,0.01,5,500
9,0.11,0.03,15,500
9,0.13,0.07,35,500
9,0.15,0.056,28,500
9,0.17,0.138,69,500
9,0.19,0.232,116,500
9,0.22,0.322,161,500
9,0.26,0.48,240,500
9,0.3,0.622,311,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0,0,500
11,0.018,0,0,500
11,0.028,0,0,500
11,0.042,0,0,500
11,0.065,0,0,500
11,0.09,0.01,5,500
11,0.11,0.018,9,500
11,0.13,0.058,29,500
11,0.15,0.118,59,500
11,0.17,0.16,80,500
11,0.19,0.23,115,500
11,0.22,0.354,177,500
11,0.26,0.516,258,500
11,0.3,0.6,300,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0,0,500
13,0.018,0,0,500
13,0.028,0,0,500
13,0.042,0,0,500
13,0.065,0,0,500
13,0.09,0.004,2,500
13,0.11,0.018,9,500
13,0.13,0.048,24,500
13,0.15,0.074,37,500
13,0.17,0.164,82,500
13,0.19,0.266,133,500
13,0.22,0.394,197,500
13,0.26,0.522,261,500
13,0.3,0.64,320,500
