d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.048,48,1000
3,0.008,0.075,75,1000
3,0.012,0.095,95,1000
3,0.018,0.174,174,1000
3,0.028,0.223,223,1000
3,0.042,0.271,271,1000
3,0.065,0.438,438,1000
3,0.09,0.509,509,1000
3,0.11,0.548,548,1000
3,0.13,0.596,596,1000
3,0.15,0.611,611,1000
3,0.17,0.655,655,1000
3,0.19,0.674,674,1000
5,0.005,0.097,97,1000
5,0.008,0.157,157,1000
5,0.012,0.26,260,1000
5,0.018,0.35,350,1000
5,0.028,0.449,449,1000
5,0.042,0.549,549,1000
5,0.065,0.654,654,1000
5,0.09,0.699,699,1000
7,0.005,0.197,197,1000
7,0.008,0.303,303,1000
7,0.012,0.393,393,1000
7,0.018,0.496,496,1000
7,0.028,0.632,632,1000
7,0.042,0.68,680,1000
9,0.005,0.307,307,1000
9,0.008,0.404,404,1000
9,0.012,0.498,498,1000
9,0.018,0.61,610,1000
9,0.028,0.677,677,1000
11,0.005,0.396,396,1000
11,0.008,0.539,539,1000
11,0.012,0.616,616,1000
11,0.018,0.711,711,1000
13,0.005,0.478,478,1000
13,0.008,0.596,596,1000
13,0.012,0.669,669,1000
15,0.005,0.544,544,1000
15,0.008,0.65,650,1000
15,0.012,0.704,704,1000
