d,p,logical_error_rate,total_fails,num_shots
3,0.005,0,0,500
3,0.008,0.012,6,500
3,0.012,0.006,3,500
3,0.018,0.014,7,500
3,0.028,0.056,28,500
3,0.042,0.106,53,500
3,0.065,0.208,104,500
3,0.09,0.308,154,500
3,0.11,0.378,189,500
3,0.13,0.462,231,500
3,0.15,0.512,256,500
3,0.17,0.604,302,500
3,0.19,0.6,300,500
3,0.22,0.684,342,500
5,0.005,0,0,500
5,0.008,0.004,2,500
5,0.012,0,0,500
5,0.018,0.012,6,500
5,0.028,0.048,24,500
5,0.042,0.118,59,500
5,0.065,0.292,146,500
5,0.09,0.51,255,500
5,0.11,0.586,293,500
5,0.13,0.7,350,500
7,0.005,0,0,500
7,0.008,0.002,1,500
7,0.012,0,0,500
7,0.018,0,0,500
7,0.028,0.044,22,500
7,0.042,0.126,63,500
7,0.065,0.384,192,500
7,0.09,0.634,317,500
7,0.11,0.726,363,500
9,0.005,0,0,500
9,0.008,0,0,500
9,0.012,0,0,500
9,0.018,0.002,1,500
9,0.028,0.018,9,500
9,0.042,0.102,51,500
9,0.065,0.49,245,500
9,0.09,0.686,343,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0,0,500
11,0.018,0,0,500
11,0.028,0.01,5,500
11,0.042,0.098,49,500
11,0.065,0.586,293,500
11,0.09,0.746,373,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0,0,500
13,0.018,0,0,500
13,0.028,0.01,5,500
13,0.042,0.104,52,500
13,0.065,0.592,296,500
13,0.09,0.76,380,500
